t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,obstacle_statique_m,recommandation
0.05,0.1,5.3,SAFE,0,,Voie libre
0.10,0.2,7.1,SAFE,0,,Voie libre
0.15,0.3,8.8,SAFE,0,,Voie libre
0.20,0.4,4.3,SAFE,0,,Voie libre
0.25,0.4,1.5,SAFE,0,,Voie libre
0.30,0.4,0.1,SAFE,0,,Voie libre
0.35,0.4,0.4,SAFE,0,,Voie libre
0.40,0.4,0.6,SAFE,0,,Voie libre
0.45,0.4,0.5,SAFE,0,,Voie libre
0.50,0.4,0.5,SAFE,0,,Voie libre
0.55,0.4,0.4,SAFE,0,,Voie libre
0.60,0.4,0.3,SAFE,0,,Voie libre
0.65,0.4,0.2,SAFE,0,,Voie libre
0.70,0.4,0.1,SAFE,0,,Voie libre
0.75,0.4,0.1,SAFE,0,,Voie libre
0.80,0.4,0.1,SAFE,0,,Voie libre
0.85,0.5,3.2,SAFE,0,,Voie libre
0.90,0.5,5.0,SAFE,0,,Voie libre
0.95,0.6,6.5,SAFE,0,,Voie libre
1.00,0.7,7.3,SAFE,0,,Voie libre
1.05,0.8,8.1,SAFE,0,,Voie libre
1.10,0.9,8.7,SAFE,0,,Voie libre
1.15,1.1,9.3,SAFE,0,,Voie libre
1.20,1.2,9.9,SAFE,0,,Voie libre
1.25,1.3,10.4,SAFE,0,,Voie libre
1.30,1.5,11.0,SAFE,0,,Voie libre
1.35,1.6,11.5,SAFE,0,,Voie libre
1.40,1.8,12.0,SAFE,0,,Voie libre
1.45,2.0,12.4,SAFE,0,,Voie libre
1.50,2.2,12.9,SAFE,0,,Voie libre
1.55,2.3,13.3,SAFE,0,,SAFE : Arrêt au feu rouge
1.60,2.5,13.6,SAFE,0,,SAFE : Arrêt au feu rouge
1.65,2.7,13.4,SAFE,0,,SAFE : Arrêt au feu rouge
1.70,2.9,12.9,SAFE,0,,SAFE : Arrêt au feu rouge
1.75,3.1,12.2,SAFE,0,,SAFE : Arrêt au feu rouge
1.80,3.2,11.4,SAFE,0,,SAFE : Arrêt au feu rouge
1.85,3.4,10.6,SAFE,0,,SAFE : Arrêt au feu rouge
1.90,3.5,9.9,SAFE,0,,SAFE : Arrêt au feu rouge
1.95,3.7,9.1,SAFE,0,,SAFE : Arrêt au feu rouge
2.00,3.8,8.3,SAFE,0,,SAFE : Arrêt au feu rouge
2.05,3.9,7.1,SAFE,0,,SAFE : Arrêt au feu rouge
2.10,3.9,2.3,SAFE,0,,SAFE : Arrêt au feu rouge
2.15,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.20,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.25,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.30,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.35,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.40,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.45,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.50,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.55,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.60,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.65,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.70,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.75,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.80,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
2.85,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.90,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.95,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.00,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.05,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.10,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.15,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.20,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.25,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.30,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.35,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.40,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.45,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.50,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.55,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.60,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.65,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.70,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.75,3.9,0.0,SAFE,1,,SAFE : Arrêt au feu rouge
3.80,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.85,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.90,3.9,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
