t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,4,Situation maîtrisée
0.10,0.2,7.1,SAFE,4,Situation maîtrisée
0.15,0.3,8.8,SAFE,4,Situation maîtrisée
0.20,0.4,10.6,SAFE,4,Situation maîtrisée
0.25,0.6,12.3,SAFE,4,Situation maîtrisée
0.30,0.7,14.1,SAFE,4,Situation maîtrisée
0.35,1.0,15.9,SAFE,4,Situation maîtrisée
0.40,1.2,17.6,SAFE,4,Situation maîtrisée
0.45,1.5,19.4,SAFE,4,Situation maîtrisée
0.50,1.7,21.2,SAFE,4,Situation maîtrisée
0.55,2.0,22.9,SAFE,4,Situation maîtrisée
0.60,2.3,13.4,SAFE,4,Situation maîtrisée
0.65,2.3,0.7,SAFE,4,Situation maîtrisée
0.70,2.3,0.9,SAFE,4,Situation maîtrisée
0.75,2.4,0.9,SAFE,4,Situation maîtrisée
0.80,2.4,0.7,SAFE,4,Situation maîtrisée
0.85,2.4,3.5,SAFE,4,Situation maîtrisée
0.90,2.5,5.7,SAFE,4,Situation maîtrisée
0.95,2.6,7.3,SAFE,4,Situation maîtrisée
1.00,2.7,8.5,SAFE,5,Situation maîtrisée
1.05,2.8,9.5,SAFE,5,Situation maîtrisée
1.10,2.9,10.5,SAFE,5,Situation maîtrisée
1.15,3.1,11.4,SAFE,5,SAFE : Arrêt au feu rouge
1.20,3.3,12.0,SAFE,5,SAFE : Arrêt au feu rouge
1.25,3.4,12.1,SAFE,5,SAFE : Arrêt au feu rouge
1.30,3.6,11.8,SAFE,5,SAFE : Arrêt au feu rouge
1.35,3.7,11.2,SAFE,5,SAFE : Arrêt au feu rouge
1.40,3.9,10.5,SAFE,5,SAFE : Arrêt au feu rouge
1.45,4.0,9.8,SAFE,4,SAFE : Arrêt au feu rouge
1.50,4.2,9.1,SAFE,4,SAFE : Arrêt au feu rouge
1.55,4.3,8.3,SAFE,4,SAFE : Arrêt au feu rouge
