t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,obstacle_statique_m,recommandation
0.05,0.1,5.3,SAFE,0,,Voie libre
0.10,0.2,7.1,SAFE,0,,Voie libre
0.15,0.3,8.8,SAFE,0,,Voie libre
0.20,0.4,4.3,SAFE,0,,Voie libre
0.25,0.4,1.5,SAFE,0,,Voie libre
0.30,0.4,0.1,SAFE,0,,Voie libre
0.35,0.4,0.4,SAFE,0,,Voie libre
0.40,0.4,0.6,SAFE,0,,Voie libre
0.45,0.4,0.5,SAFE,0,,Voie libre
0.50,0.4,0.5,SAFE,0,,Voie libre
0.55,0.4,0.4,SAFE,0,,Voie libre
0.60,0.4,0.3,SAFE,0,,Voie libre
0.65,0.4,0.2,SAFE,0,,Voie libre
0.70,0.4,1.5,SAFE,0,,Voie libre
0.75,0.5,4.1,SAFE,0,,Voie libre
0.80,0.6,5.8,SAFE,0,,Voie libre
0.85,0.6,7.2,SAFE,0,,Voie libre
0.90,0.8,8.2,SAFE,0,,Voie libre
0.95,0.9,9.0,SAFE,0,,Voie libre
1.00,1.0,9.8,SAFE,0,,Voie libre
1.05,1.2,10.5,SAFE,0,,Voie libre
1.10,1.3,11.3,SAFE,0,,Voie libre
1.15,1.5,11.9,SAFE,0,,Voie libre
1.20,1.6,12.6,SAFE,0,,Voie libre
1.25,1.8,13.3,SAFE,0,,Voie libre
1.30,2.0,13.9,SAFE,0,,Voie libre
1.35,2.2,14.5,SAFE,0,,Voie libre
1.40,2.4,15.0,SAFE,0,,SAFE : Arrêt au feu rouge
1.45,2.6,15.3,SAFE,0,,SAFE : Arrêt au feu rouge
1.50,2.8,15.2,SAFE,0,,SAFE : Arrêt au feu rouge
1.55,3.0,14.6,SAFE,0,,SAFE : Arrêt au feu rouge
1.60,3.2,13.9,SAFE,0,,SAFE : Arrêt au feu rouge
1.65,3.4,13.1,SAFE,0,,SAFE : Arrêt au feu rouge
1.70,3.6,12.3,SAFE,0,,SAFE : Arrêt au feu rouge
1.75,3.8,11.5,SAFE,0,,SAFE : Arrêt au feu rouge
1.80,3.9,10.7,SAFE,0,,SAFE : Arrêt au feu rouge
1.85,4.1,9.9,SAFE,0,,SAFE : Arrêt au feu rouge
1.90,4.2,9.2,SAFE,0,,SAFE : Arrêt au feu rouge
1.95,4.3,8.3,SAFE,0,,SAFE : Arrêt au feu rouge
2.00,4.4,7.3,SAFE,0,,SAFE : Arrêt au feu rouge
2.05,4.5,3.1,SAFE,0,,SAFE : Arrêt au feu rouge
2.10,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.15,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.20,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.25,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.30,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.35,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.40,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.45,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.50,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.55,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.60,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.65,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.70,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.75,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.80,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.85,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.90,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
2.95,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.00,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.05,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.10,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.15,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.20,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.25,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.30,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.35,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.40,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.45,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.50,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.55,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.60,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.65,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.70,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.75,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.80,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
3.85,4.5,0.0,SAFE,0,,SAFE : Arrêt au feu rouge
